kind,step,phase,item,value,x,y,z,basis,verdict
phase,Tension_at_500C,YARN3,damg_p99,0.899967,,,,max of DY1/DYT,saturated
phase,Tension_at_500C,YARN3,damg_max,0.89998,,,,max of DY1/DYT,saturated
phase,Tension_at_500C,YARN3,volfrac_damg_ge_0.01,0.796576,,,,"max of DY1/DYT, volume-weighted",saturated
phase,Tension_at_500C,YARN3,volfrac_damg_ge_0.10,0.78532,,,,"max of DY1/DYT, volume-weighted",saturated
phase,Tension_at_500C,YARN3,volfrac_damg_ge_0.50,0.678719,,,,"max of DY1/DYT, volume-weighted",saturated
phase,Tension_at_500C,YARN3,volfrac_damg_ge_0.90,0,,,,"max of DY1/DYT, volume-weighted",saturated
phase,Tension_at_500C,YARN3,modefrac_23_yarn_trans_tension,1,,,,"DMODE 23 = yarn_trans_tension, volume-weighted",saturated
hotspot,Tension_at_500C,MATRIX,rank1_element10,0.9,-0.845623,-0.845625,0.0075,DMODE 12 = matrix_compression,softening
hotspot,Tension_at_500C,MATRIX,rank2_element18,0.9,-0.845623,-0.845625,0.355833,DMODE 12 = matrix_compression,softening
hotspot,Tension_at_500C,MATRIX,rank3_element19,0.9,-0.816246,-0.845625,0.383333,DMODE 12 = matrix_compression,softening
hotspot,Tension_at_500C,MATRIX,rank4_element886,0.9,-0.845623,2.59562,0.0075,DMODE 11 = matrix_tension,softening
hotspot,Tension_at_500C,MATRIX,rank5_element893,0.9,-0.845623,2.59562,0.319167,DMODE 11 = matrix_tension,softening
hotspot,Tension_at_500C,MATRIX,rank6_element894,0.9,-0.816246,2.59562,0.346666,DMODE 11 = matrix_tension,softening
hotspot,Tension_at_500C,MATRIX,rank7_element895,0.9,-0.845623,2.56624,0.383333,DMODE 11 = matrix_tension,softening
hotspot,Tension_at_500C,MATRIX,rank8_element1633,0.9,2.59562,-0.845625,0.0075,DMODE 11 = matrix_tension,softening
hotspot,Tension_at_500C,MATRIX,rank9_element1642,0.9,2.59562,-0.845625,0.3925,DMODE 11 = matrix_tension,softening
hotspot,Tension_at_500C,MATRIX,rank10_element2557,0.9,2.59562,2.59562,0.0075,DMODE 11 = matrix_tension,softening
hotspot,Tension_at_500C,MATRIX,rank11_element2565,0.9,2.59562,2.59562,0.355833,DMODE 11 = matrix_tension,softening
hotspot,Tension_at_500C,MATRIX,rank12_element2566,0.9,2.59562,2.56624,0.383333,DMODE 11 = matrix_tension,softening
hotspot,Tension_at_500C,MATRIX,rank13_element3761,0.899981,1.73683,-0.729422,0.0798325,DMODE 11 = matrix_tension,softening
hotspot,Tension_at_500C,MATRIX,rank14_element25963,0.89998,1.73683,-0.788172,0.0794639,DMODE 11 = matrix_tension,softening
hotspot,Tension_at_500C,MATRIX,rank15_element1153,0.89998,0.0160535,2.53366,0.0799141,DMODE 11 = matrix_tension,softening
hotspot,Tension_at_500C,YARN3,rank16_element25964,0.89998,1.75185,-0.817547,0.134464,DMODE 23 = yarn_trans_tension,softening
hotspot,Tension_at_500C,MATRIX,rank17_element6221,0.899979,0.0160535,2.4749,0.0801837,DMODE 11 = matrix_tension,softening
hotspot,Tension_at_500C,YARN3,rank18_element3763,0.899979,1.76871,-0.730719,0.149173,DMODE 23 = yarn_trans_tension,softening
hotspot,Tension_at_500C,YARN3,rank19_element25965,0.899979,1.76871,-0.789469,0.164586,DMODE 23 = yarn_trans_tension,softening
hotspot,Tension_at_500C,YARN2,rank20_element1154,0.899978,3.09269e-05,2.56464,0.134914,DMODE 23 = yarn_trans_tension,softening
hotspot,Tension_at_500C,YARN2,rank21_element1155,0.899978,-0.0159689,2.53526,0.165306,DMODE 23 = yarn_trans_tension,softening
hotspot,Tension_at_500C,YARN2,rank22_element6223,0.899978,-0.0159689,2.47651,0.149834,DMODE 23 = yarn_trans_tension,softening
hotspot,Tension_at_500C,MATRIX,rank23_element2227,0.899977,1.76901,2.53524,0.384815,DMODE 11 = matrix_tension,softening
hotspot,Tension_at_500C,MATRIX,rank24_element3878,0.899977,1.76901,2.47648,0.354856,DMODE 11 = matrix_tension,softening
hotspot,Tension_at_500C,YARN3,rank25_element3873,0.899977,1.75151,2.44792,0.145373,DMODE 23 = yarn_trans_tension,softening
hotspot,Tension_at_500C,YARN3,rank26_element2221,0.899977,1.75151,2.56543,0.11449,DMODE 23 = yarn_trans_tension,softening
hotspot,Tension_at_500C,MATRIX,rank27_element3730,0.899976,1.68797,-0.81625,0.0752004,DMODE 11 = matrix_tension,softening
hotspot,Tension_at_500C,MATRIX,rank28_element408,0.899976,-1.46986e-05,-0.814647,0.0592642,DMODE 11 = matrix_tension,softening
hotspot,Tension_at_500C,MATRIX,rank29_element1152,0.899976,-0.0159689,2.53526,0.0446366,DMODE 11 = matrix_tension,softening
hotspot,Tension_at_500C,MATRIX,rank30_element2220,0.899976,1.75151,2.56543,0.0594894,DMODE 11 = matrix_tension,softening
hotspot,Tension_at_500C,ALL,elements_at_cap,0,,,,"DAMG >= 0.9900, the card's DMAX",single_point
profile,Tension_at_500C,ALL,x_000_010pct,0.0900056,,,,"volume-weighted mean DAMG, x in [-0.8653, -0.5173] mm",interior_dominant
profile,Tension_at_500C,ALL,x_010_020pct,0.406576,,,,"volume-weighted mean DAMG, x in [-0.5173, -0.1692] mm",interior_dominant
profile,Tension_at_500C,ALL,x_020_030pct,0.683895,,,,"volume-weighted mean DAMG, x in [-0.1692, 0.1789] mm",interior_dominant
profile,Tension_at_500C,ALL,x_030_040pct,0.431381,,,,"volume-weighted mean DAMG, x in [0.1789, 0.527] mm",interior_dominant
profile,Tension_at_500C,ALL,x_040_050pct,0.0854804,,,,"volume-weighted mean DAMG, x in [0.527, 0.8751] mm",interior_dominant
profile,Tension_at_500C,ALL,x_050_060pct,0.0829245,,,,"volume-weighted mean DAMG, x in [0.8751, 1.223] mm",interior_dominant
profile,Tension_at_500C,ALL,x_060_070pct,0.416796,,,,"volume-weighted mean DAMG, x in [1.223, 1.571] mm",interior_dominant
profile,Tension_at_500C,ALL,x_070_080pct,0.683232,,,,"volume-weighted mean DAMG, x in [1.571, 1.919] mm",interior_dominant
profile,Tension_at_500C,ALL,x_080_090pct,0.420066,,,,"volume-weighted mean DAMG, x in [1.919, 2.267] mm",interior_dominant
profile,Tension_at_500C,ALL,x_090_100pct,0.0949024,,,,"volume-weighted mean DAMG, x in [2.267, 2.615] mm",interior_dominant
